Time (us),Value
0.00010711691169116911,-6.856745258276544e-05
0.00010713031303130313,-6.854009744886842e-05
0.00010714371437143714,-6.851267934966804e-05
0.00010715711571157116,-6.848519830299552e-05
0.00010717051705170517,-6.845765432699235e-05
0.00010718391839183919,-6.843004744010961e-05
0.0001071973197319732,-6.840237766110775e-05
0.00010721072107210721,-6.837464500905588e-05
0.00010722412241224122,-6.834684950333164e-05
0.00010723752375237524,-6.831899116362044e-05
0.00010725092509250925,-6.829107000991528e-05
0.00010726432643264327,-6.82630860625161e-05
0.00010727772777277727,-6.823503934202951e-05
0.0001072911291129113,-6.82069298693682e-05
0.00010730453045304531,-6.817875766575057e-05
0.00010731793179317932,-6.815052275270034e-05
0.00010733133313331334,-6.812222515204593e-05
0.00010734473447344735,-6.809386488592022e-05
0.00010735813581358137,-6.806544197675994e-05
0.00010737153715371537,-6.803695644730537e-05
0.0001073849384938494,-6.800840832059973e-05
0.0001073983398339834,-6.797979761998894e-05
0.00010741174117411742,-6.795112436912097e-05
0.00010742514251425143,-6.792238859194557e-05
0.00010743854385438545,-6.789359031271366e-05
0.00010745194519451945,-6.786472955597706e-05
0.00010746534653465347,-6.783580634658787e-05
0.00010747874787478748,-6.78068207096982e-05
0.0001074921492149215,-6.777777267075955e-05
0.0001075055505550555,-6.774866225552257e-05
0.00010751895189518953,-6.771948949003637e-05
0.00010753235323532353,-6.769025440064833e-05
0.00010754575457545755,-6.766095701400342e-05
0.00010755915591559156,-6.763159735704397e-05
0.00010757255725572558,-6.760217545700902e-05
0.00010758595859585959,-6.757269134143412e-05
0.0001075993599359936,-6.754314503815057e-05
0.00010761276127612761,-6.751353657528532e-05
0.00010762616261626163,-6.748386598126022e-05
0.00010763956395639564,-6.745413328479182e-05
0.00010765296529652966,-6.742433851489073e-05
0.00010766636663666366,-6.739448170086137e-05
0.00010767976797679768,-6.736456287230127e-05
0.00010769316931693169,-6.733458205910095e-05
0.00010770657065706571,-6.730453929144315e-05
0.00010771997199719972,-6.727443459980266e-05
0.00010773337333733374,-6.724426801494561e-05
0.00010774677467746774,-6.721403956792937e-05
0.00010776017601760176,-6.718374929010168e-05
0.00010777357735773577,-6.715339721310064e-05
0.00010778697869786979,-6.712298336885387e-05
0.0001078003800380038,-6.709250778957841e-05
0.00010781378137813782,-6.706197050777999e-05
0.00010782718271827182,-6.703137155625282e-05
0.00010784058405840584,-6.700071096807894e-05
0.00010785398539853985,-6.696998877662799e-05
0.00010786738673867387,-6.693920501555652e-05
0.00010788078807880788,-6.690835971880782e-05
0.0001078941894189419,-6.687745292061118e-05
0.0001079075907590759,-6.684648465548173e-05
0.00010792099209920992,-6.681545495821977e-05
0.00010793439343934394,-6.678436386391047e-05
0.00010794779477947795,-6.675321140792341e-05
0.00010796119611961197,-6.6721997625912e-05
0.00010797459745974598,-6.669072255381325e-05
0.00010798799879988,-6.66593862278471e-05
0.000108001400140014,-6.662798868451619e-05
0.00010801480148014802,-6.659652996060522e-05
0.00010802820282028203,-6.656501009318072e-05
0.00010804160416041605,-6.653342911959036e-05
0.00010805500550055006,-6.650178707746274e-05
0.00010806840684068408,-6.647008400470673e-05
0.00010808180818081808,-6.643831993951125e-05
0.0001080952095209521,-6.640649492034459e-05
0.00010810861086108611,-6.637460898595422e-05
0.00010812201220122013,-6.634266217536605e-05
